server cache hits, server cache misses, client cache hits, client cache misses, bandwith
357,177,1049,534,1722635
357,177,1052,534,1722635
357,177,1054,534,1722635
357,177,1055,534,1722635
357,177,1056,534,1722635
357,177,1063,534,1722635
357,177,1070,534,1722635
357,177,1074,534,1722635
357,177,1077,534,1722635
360,177,1077,537,1732499
361,177,1077,538,1737388
361,178,1077,539,1742127
362,180,1077,542,1752098
362,180,1077,542,1752098
362,180,1077,542,1752098
364,180,1078,544,1756203
364,181,1078,545,1760052
365,181,1079,546,1762905
365,182,1079,547,1767076
365,185,1079,550,1773243
366,185,1080,551,1777634
370,185,1080,555,1783198
371,185,1080,556,1786775
371,185,1080,556,1786775
371,185,1080,556,1786775
373,185,1080,558,1793934
374,185,1080,559,1798261
375,185,1081,560,1801100
376,185,1081,561,1805625
377,185,1081,562,1807865
379,185,1081,564,1813679
379,185,1081,564,1813679
379,185,1081,564,1813679
381,185,1081,566,1821345
382,185,1081,567,1825610
383,185,1081,568,1827873
383,185,1081,568,1827873
383,185,1081,568,1827873
383,185,1081,568,1827873
383,185,1081,568,1827873
384,185,1082,569,1830031
385,185,1082,570,1833761
386,185,1082,571,1836363
386,185,1082,571,1836363
386,185,1082,571,1836363
386,185,1082,571,1836363
388,185,1082,573,1843522
388,185,1082,573,1843522
388,185,1082,573,1843522
388,185,1082,573,1843522
388,185,1082,573,1843522
388,185,1082,573,1843522
388,185,1082,573,1843522
388,185,1082,573,1843522
388,185,1082,573,1843522
389,185,1083,574,1845680
390,185,1083,575,1849410
391,186,1083,577,1854451
391,186,1083,577,1854451
391,186,1083,577,1854451
391,186,1088,577,1854451
391,186,1088,577,1854451
391,186,1088,577,1854451
391,186,1088,577,1854451
397,186,1088,583,1870447
397,186,1094,583,1870447
397,186,1100,583,1870447
397,186,1106,583,1870447
397,186,1112,583,1870447
397,186,1117,583,1870447
397,186,1122,583,1870447
397,186,1127,583,1870447
397,186,1132,583,1870447
397,186,1137,583,1870447
397,186,1141,583,1870447
397,186,1144,583,1870447
398,186,1146,584,1875436
400,186,1147,586,1883508
402,186,1147,588,1889722
402,186,1147,588,1889722
404,186,1147,590,1896115
405,186,1147,591,1900693
406,186,1147,592,1904161
407,186,1147,593,1907669
409,186,1152,595,1914931
409,186,1152,595,1914931
410,186,1153,596,1918676
411,186,1153,597,1923003
413,186,1153,599,1929217
413,186,1153,599,1929217
413,186,1153,599,1929217
416,186,1153,602,1939081
417,186,1153,603,1941733
418,186,1153,604,1944178
419,186,1154,605,1947157
421,186,1154,607,1954316
423,186,1154,609,1960709
