Memory  Disk  CPU\n
3.76% 77% 0.11%
3.77% 77% 0.11%
3.79% 77% 0.10%
3.81% 77% 0.10%
3.83% 77% 0.10%
3.84% 77% 0.10%
3.85% 77% 0.10%
3.85% 77% 0.09%
3.85% 77% 0.09%
3.86% 77% 0.09%
3.86% 77% 0.09%
3.88% 77% 0.08%
3.90% 77% 0.08%
3.93% 77% 0.08%
3.93% 77% 0.08%
3.93% 77% 0.08%
3.93% 77% 0.08%
3.93% 77% 0.08%
3.93% 77% 0.08%
3.93% 77% 0.07%
3.93% 77% 0.07%
3.94% 77% 0.07%
3.94% 77% 0.07%
3.95% 77% 0.07%
3.95% 77% 0.07%
3.95% 77% 0.07%
3.95% 77% 0.07%
3.95% 77% 0.07%
3.99% 77% 0.14%
3.96% 77% 0.14%
3.96% 77% 0.14%
3.96% 77% 0.14%
3.96% 77% 0.13%
3.97% 77% 0.13%
3.98% 77% 0.13%
3.98% 77% 0.13%
3.98% 77% 0.13%
3.99% 77% 0.20%
3.99% 77% 0.20%
4.00% 77% 0.20%
4.00% 77% 0.20%
4.03% 77% 0.26%
4.05% 77% 0.26%
4.04% 77% 0.26%
4.05% 77% 0.26%
4.06% 77% 0.24%
4.08% 77% 0.24%
4.10% 77% 0.24%
4.10% 77% 0.24%
4.12% 77% 0.22%
4.13% 77% 0.22%
4.13% 77% 0.22%
4.12% 77% 0.22%
4.13% 77% 0.22%
4.13% 77% 0.20%
4.13% 77% 0.20%
4.15% 77% 0.20%
4.16% 77% 0.20%
4.18% 77% 0.19%
4.20% 77% 0.19%
4.25% 77% 0.19%
4.21% 77% 0.19%
4.21% 77% 0.17%
4.21% 77% 0.17%
4.20% 77% 0.17%
4.21% 77% 0.17%
4.21% 77% 0.17%
4.23% 77% 0.16%
4.24% 77% 0.16%
4.26% 77% 0.16%
4.26% 77% 0.16%
4.27% 77% 0.15%
4.27% 77% 0.15%
4.26% 77% 0.15%
4.26% 77% 0.15%
4.26% 77% 0.13%
4.28% 77% 0.13%
4.28% 77% 0.13%
4.30% 77% 0.13%
4.30% 77% 0.13%
4.30% 77% 0.12%
4.30% 77% 0.12%
4.30% 77% 0.12%
4.32% 77% 0.12%
4.33% 77% 0.11%
4.35% 77% 0.11%
4.36% 77% 0.11%
4.37% 77% 0.11%
4.37% 77% 0.10%
4.37% 77% 0.10%
4.36% 77% 0.10%
4.40% 77% 0.10%
4.36% 77% 0.10%
4.37% 77% 0.10%
4.38% 77% 0.10%
4.40% 77% 0.10%
4.42% 77% 0.10%
4.44% 77% 0.09%
4.45% 77% 0.09%
4.45% 77% 0.09%
4.45% 77% 0.09%
4.45% 77% 0.08%
4.45% 77% 0.08%
4.48% 77% 0.08%
4.46% 77% 0.08%
4.48% 77% 0.07%
4.50% 77% 0.07%
4.51% 77% 0.07%
4.52% 77% 0.07%
4.55% 77% 0.07%
4.55% 77% 0.07%
4.57% 77% 0.07%
4.60% 77% 0.07%
4.62% 77% 0.07%
4.70% 77% 0.14%
4.64% 77% 0.14%
4.69% 77% 0.14%
4.64% 77% 0.14%
4.64% 77% 0.13%
4.64% 77% 0.13%
4.65% 77% 0.13%
4.65% 77% 0.13%
4.65% 77% 0.20%
4.64% 77% 0.20%
4.65% 77% 0.20%
4.67% 77% 0.20%
4.68% 77% 0.20%
4.70% 77% 0.18%
4.72% 77% 0.18%
4.73% 77% 0.18%
4.75% 77% 0.18%
4.76% 77% 0.25%
4.77% 77% 0.25%
4.78% 77% 0.25%
4.78% 77% 0.25%
4.79% 77% 0.23%
4.79% 77% 0.23%
4.79% 77% 0.23%
4.79% 77% 0.23%
4.79% 77% 0.23%
4.79% 77% 0.21%
4.83% 77% 0.21%
4.79% 77% 0.21%
4.80% 77% 0.21%
4.79% 77% 0.19%
4.79% 77% 0.19%
4.79% 77% 0.19%
4.79% 77% 0.19%
4.79% 77% 0.18%
4.85% 77% 0.18%
4.79% 77% 0.18%
4.79% 77% 0.18%
4.79% 77% 0.18%
4.80% 77% 0.16%
4.81% 77% 0.16%
4.82% 77% 0.16%
4.85% 77% 0.16%
4.86% 77% 0.23%
4.89% 77% 0.23%
4.91% 77% 0.23%
4.93% 77% 0.23%
4.95% 77% 0.21%
4.95% 77% 0.21%
4.96% 77% 0.21%
4.95% 77% 0.21%
4.95% 77% 0.20%
4.96% 77% 0.20%
4.95% 77% 0.20%
4.95% 77% 0.20%
4.95% 77% 0.20%
4.95% 77% 0.18%
5.01% 77% 0.18%
4.97% 77% 0.18%
4.99% 77% 0.18%
5.01% 77% 0.16%
5.02% 77% 0.16%
5.03% 77% 0.16%
5.04% 77% 0.16%
5.04% 77% 0.15%
5.03% 77% 0.15%
5.03% 77% 0.15%
5.03% 77% 0.15%
5.02% 77% 0.15%
5.03% 77% 0.14%
5.03% 77% 0.14%
5.04% 77% 0.14%
5.04% 77% 0.14%
5.05% 77% 0.13%
5.07% 77% 0.13%
5.07% 77% 0.13%
5.07% 77% 0.13%
5.08% 77% 0.12%
5.08% 77% 0.12%
5.08% 77% 0.12%
5.08% 77% 0.12%
5.09% 77% 0.11%
5.09% 77% 0.11%
5.08% 77% 0.11%
5.16% 77% 0.11%
5.11% 77% 0.11%
5.19% 77% 0.10%
5.13% 77% 0.10%
5.16% 77% 0.10%
5.16% 77% 0.10%
5.17% 77% 0.09%
5.17% 77% 0.09%
5.16% 77% 0.09%
5.16% 77% 0.09%
5.16% 77% 0.08%
5.16% 77% 0.08%
5.16% 77% 0.08%
5.16% 77% 0.08%
5.17% 77% 0.08%
5.20% 77% 0.08%
5.21% 77% 0.08%
5.23% 77% 0.08%
5.23% 77% 0.08%
5.24% 77% 0.07%
5.26% 77% 0.07%
5.26% 77% 0.07%
5.34% 77% 0.07%
5.29% 77% 0.06%
5.29% 77% 0.06%
5.32% 77% 0.06%
5.41% 77% 0.06%
5.34% 77% 0.06%
5.34% 77% 0.06%
5.35% 77% 0.06%
5.34% 77% 0.06%
5.36% 77% 0.06%
5.35% 77% 0.05%
5.35% 77% 0.05%
5.35% 77% 0.05%
5.35% 77% 0.05%
5.36% 77% 0.05%
5.36% 77% 0.05%
5.36% 77% 0.05%
5.36% 77% 0.05%
5.36% 77% 0.05%
5.36% 77% 0.05%
5.36% 77% 0.05%
5.36% 77% 0.05%
5.37% 77% 0.05%
5.37% 77% 0.04%
5.37% 77% 0.04%
5.39% 77% 0.04%
5.41% 77% 0.04%
5.41% 77% 0.04%
5.41% 77% 0.04%
5.41% 77% 0.04%
5.41% 77% 0.04%
5.41% 77% 0.03%
5.42% 77% 0.03%
5.43% 77% 0.03%
5.41% 77% 0.03%
5.41% 77% 0.03%
5.41% 77% 0.03%
5.41% 77% 0.03%
5.41% 77% 0.03%
5.41% 77% 0.03%
5.42% 77% 0.03%
5.43% 77% 0.03%
5.44% 77% 0.03%
5.45% 77% 0.03%
5.47% 77% 0.03%
5.49% 77% 0.03%
5.50% 77% 0.03%
5.51% 77% 0.03%
5.51% 77% 0.02%
5.54% 77% 0.02%
5.55% 77% 0.02%
5.65% 77% 0.02%
5.59% 77% 0.02%
5.61% 77% 0.02%
5.63% 77% 0.02%
5.63% 77% 0.02%
5.64% 77% 0.02%
5.66% 77% 0.02%
5.67% 77% 0.02%
5.68% 77% 0.02%
5.68% 77% 0.02%
5.68% 77% 0.02%
5.68% 77% 0.02%
5.68% 77% 0.02%
5.68% 77% 0.02%
5.77% 77% 0.02%
5.69% 77% 0.02%
5.68% 77% 0.02%
5.69% 77% 0.02%
5.69% 77% 0.02%
5.69% 77% 0.02%
5.68% 77% 0.02%
5.69% 77% 0.02%
5.68% 77% 0.02%
5.69% 77% 0.01%
5.69% 77% 0.01%
5.69% 77% 0.01%
5.75% 77% 0.01%
5.70% 77% 0.17%
5.70% 77% 0.17%
5.69% 77% 0.17%
5.69% 77% 0.17%
5.70% 77% 0.17%
5.70% 77% 0.16%
5.71% 77% 0.16%
5.71% 77% 0.16%
5.73% 77% 0.16%
5.74% 77% 0.15%
5.76% 77% 0.15%
5.77% 77% 0.15%
5.78% 77% 0.15%
5.80% 77% 0.13%
5.82% 77% 0.13%
5.84% 77% 0.13%
5.85% 77% 0.13%
5.86% 77% 0.13%
5.88% 77% 0.12%
5.89% 77% 0.12%
5.90% 77% 0.12%
5.90% 77% 0.12%
5.90% 77% 0.11%
5.90% 77% 0.11%
5.91% 77% 0.11%
5.91% 77% 0.11%
5.90% 77% 0.10%
5.91% 77% 0.10%
5.91% 77% 0.10%
5.91% 77% 0.10%
5.91% 77% 0.10%
5.91% 77% 0.10%
5.91% 77% 0.10%
5.91% 77% 0.10%
5.93% 77% 0.10%
5.95% 77% 0.17%
5.96% 77% 0.17%
5.97% 77% 0.17%
5.99% 77% 0.17%
6.07% 77% 0.15%
6.01% 77% 0.15%
6.01% 77% 0.15%
6.01% 77% 0.15%
6.01% 77% 0.14%
6.09% 77% 0.14%
6.01% 77% 0.14%
6.01% 77% 0.14%
6.01% 77% 0.14%
6.11% 77% 0.13%
6.01% 77% 0.13%
6.01% 77% 0.13%
6.01% 77% 0.13%
6.01% 77% 0.12%
6.02% 77% 0.12%
6.02% 77% 0.12%
6.04% 77% 0.12%
6.06% 77% 0.11%
6.08% 77% 0.11%
6.08% 77% 0.11%
6.08% 77% 0.11%
6.12% 77% 0.11%
6.08% 77% 0.18%
6.08% 77% 0.18%
6.08% 77% 0.18%
6.18% 77% 0.18%
6.09% 77% 0.25%
6.10% 77% 0.25%
6.11% 77% 0.25%
6.12% 77% 0.25%
6.13% 77% 0.23%
6.14% 77% 0.23%
6.15% 77% 0.23%
6.17% 77% 0.23%
6.18% 77% 0.21%
6.20% 77% 0.21%
6.22% 77% 0.21%
6.23% 77% 0.21%
6.25% 77% 0.21%
6.27% 77% 0.19%
6.33% 77% 0.19%
6.30% 77% 0.19%
6.30% 77% 0.19%
6.32% 77% 0.18%
6.33% 77% 0.18%
6.34% 77% 0.18%
6.34% 77% 0.18%
6.35% 77% 0.16%
